Timestamp,PT_HE,PT_Purge,PT_Pneu,PT_FUEL_PV,PT_LOX_PV,PT_CHAM,TC_FUEL_PV,TC_LOX_PV,TC_LOX_Valve_Main,TC_WATER_In,TC_WATER_Out,TC_CHAM,FT_Thrust,FL_WATER
1638506686249,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506686323,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506686392,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506686467,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506686540,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506686615,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506686688,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506686757,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506686832,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506686905,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506686978,0,20,30,-266,-253,100,-136,-136,130,140,150,300,500,250
1638506687048,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506687122,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506687196,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506687269,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506687343,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506687412,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506687486,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506687560,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506687634,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506687704,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506687777,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506687852,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506687925,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506687994,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506688067,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506688142,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506688216,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506688288,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506688359,0,20,30,-266,-253,100,-136,-136,130,140,150,300,500,250
1638506688433,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506688507,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506688580,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506688650,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506688724,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506688796,0,20,30,-266,-252,100,-136,-136,130,140,150,300,500,250
1638506688871,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
1638506688941,0,20,30,-266,-253,100,-136,-136,130,140,150,300,500,250
1638506689015,0,20,30,-265,-252,100,-136,-136,130,140,150,300,500,250
